coc_number,pop
AK-500,1128
AK-501,717
AL-500,1092
AL-501,606
AL-502,155
AL-503,436
AL-504,377
AL-505,163
AL-506,200
AL-507,764
AR-500,1006
AR-501,330
AR-503,822
AR-505,88
AR-508,168
AR-512,53
AZ-500,1768
AZ-501,1574
AZ-502,5605
CA-500,7394
CA-501,6858
CA-502,5629
CA-503,3665
CA-504,2835
CA-505,1607
CA-506,3364
CA-507,1117
CA-508,2249
CA-509,1238
CA-510,1661
CA-511,1542
CA-512,1253
CA-513,853
CA-514,2016
CA-515,979
CA-516,934
CA-517,315
CA-518,1232
CA-519,1195
CA-520,454
CA-521,459
CA-522,759
CA-523,176
CA-524,760
CA-525,602
CA-526,367
CA-527,124
CA-529,401
CA-530,121
CA-600,55188
CA-601,9160
CA-602,4792
CA-603,1860
CA-604,810
CA-606,1863
CA-607,575
CA-608,2406
CA-609,1866
CA-611,1152
CA-612,168
CA-613,1154
CA-614,1125
CO-500,4019
CO-503,5506
CO-504,1415
CT-503,778
CT-505,2610
DC-500,7473
DE-500,994
FL-500,1447
FL-501,1549
FL-502,2831
FL-503,512
FL-504,753
FL-505,401
FL-506,1072
FL-507,2074
FL-508,819
FL-509,1732
FL-510,1869
FL-511,758
FL-512,445
FL-513,845
FL-514,725
FL-515,336
FL-517,609
FL-518,502
FL-519,2593
FL-520,635
FL-600,3721
FL-601,2450
FL-602,222
FL-603,431
FL-604,631
FL-605,1607
FL-606,621
GA-500,3572
GA-501,3716
GA-502,293
GA-503,239
GA-504,246
GA-505,319
GA-506,403
GA-507,926
GA-508,460
GU-500,852
HI-500,2261
HI-501,4959
IA-500,288
IA-501,1792
IA-502,676
ID-500,833
ID-501,1204
IL-500,155
IL-501,291
IL-502,228
IL-503,160
IL-504,176
IL-506,282
IL-507,329
IL-508,300
IL-509,90
IL-510,5657
IL-511,780
IL-512,433
IL-513,230
IL-514,331
IL-515,108
IL-516,130
IL-517,360
IL-518,243
IL-519,80
IL-520,435
IN-502,3655
IN-503,1783
KS-502,575
KS-503,356
KS-505,130
KS-507,1037
KY-500,1940
KY-501,1034
KY-502,1051
LA-500,357
LA-502,349
LA-503,1301
LA-505,185
LA-506,248
LA-507,159
LA-508,116
LA-509,590
MA-500,6135
MA-502,582
MA-503,324
MA-504,2311
MA-505,352
MA-506,1507
MA-507,557
MA-508,658
MA-509,530
MA-510,747
MA-511,1109
MA-515,297
MA-516,2080
MA-517,142
MA-519,234
MD-500,118
MD-501,2669
MD-502,189
MD-503,376
MD-504,168
MD-505,609
MD-506,147
MD-507,193
MD-508,419
MD-509,309
MD-510,10
MD-511,153
MD-512,208
MD-513,260
MD-600,525
MD-601,894
ME-500,2280
MI-500,1465
MI-501,2078
MI-502,226
MI-503,354
MI-504,412
MI-505,420
MI-506,912
MI-507,479
MI-508,435
MI-509,302
MI-510,388
MI-511,128
MI-512,228
MI-513,84
MI-514,204
MI-515,193
MI-516,135
MI-517,140
MI-518,103
MI-519,258
MI-523,107
MN-500,3057
MN-501,1438
MN-502,552
MN-503,544
MN-504,99
MN-505,862
MN-506,288
MN-508,215
MN-509,505
MN-511,108
MO-500,462
MO-501,1336
MO-503,578
MO-600,455
MO-602,270
MO-603,210
MO-604,1671
MO-606,1244
MP-500,672
MS-500,511
MS-501,697
MS-503,264
MT-500,1529
NC-500,453
NC-501,562
NC-502,354
NC-503,3054
NC-504,573
NC-505,1476
NC-506,322
NC-507,884
NC-509,249
NC-511,442
NC-513,127
NC-516,466
ND-500,1089
NE-500,506
NE-501,1389
NE-502,606
NH-500,767
NH-501,394
NH-502,295
NJ-500,422
NJ-501,302
NJ-502,604
NJ-503,938
NJ-504,2048
NJ-506,822
NJ-507,546
NJ-508,299
NJ-509,378
NJ-510,224
NJ-511,449
NJ-512,16
NJ-513,244
NJ-514,478
NJ-515,480
NJ-516,286
NM-500,1318
NM-501,1164
NV-500,6490
NV-501,1106
NV-502,237
NY-500,817
NY-501,226
NY-503,802
NY-504,34
NY-505,798
NY-507,274
NY-508,925
NY-510,73
NY-511,308
NY-512,194
NY-513,337
NY-514,83
NY-516,126
NY-518,162
NY-519,144
NY-520,28
NY-522,169
NY-523,247
NY-600,76501
NY-601,388
NY-602,350
NY-603,3937
NY-604,1832
NY-606,170
NY-607,167
NY-608,411
OH-500,1162
OH-501,499
OH-502,1727
OH-503,1691
OH-504,262
OH-505,619
OH-506,507
OH-507,3309
OH-508,319
OK-500,192
OK-501,1074
OK-502,1368
OK-503,432
OK-504,174
OK-505,377
OK-506,231
OK-507,351
OR-500,1529
OR-501,4177
OR-502,633
OR-503,778
OR-505,5795
OR-506,544
OR-507,497
PA-500,5693
PA-501,460
PA-502,453
PA-503,174
PA-504,310
PA-505,578
PA-506,534
PA-508,197
PA-509,2170
PA-510,321
PA-511,511
PA-512,288
PA-600,1145
PA-601,837
PA-603,98
PA-605,369
PR-502,1883
PR-503,1642
RI-500,1180
SC-500,425
SC-501,1317
SC-502,1200
SC-503,974
SD-500,943
TN-500,576
TN-501,1426
TN-502,812
TN-503,285
TN-504,2337
TN-506,252
TN-507,1103
TN-509,450
TN-510,316
TN-512,752
TX-500,2743
TX-503,2036
TX-600,3789
TX-601,1941
TX-603,1193
TX-604,221
TX-607,7153
TX-611,531
TX-624,234
TX-700,3605
TX-701,102
UT-500,2047
UT-503,634
UT-504,171
VA-500,662
VA-501,703
VA-502,267
VA-503,349
VA-504,160
VA-505,512
VA-507,151
VA-508,125
VA-513,280
VA-514,216
VA-521,722
VA-600,232
VA-601,964
VA-602,113
VA-603,211
VA-604,400
VI-500,381
VT-500,934
VT-501,291
WA-500,11643
WA-501,4671
WA-502,1090
WA-503,1321
WA-504,1066
WA-507,572
WA-508,749
WI-500,3348
WI-501,900
WI-502,194
WI-503,585
WV-500,118
WV-501,205
WV-503,319
WV-508,667
WY-500,873
